開課序號,開課代碼,系所,全英語,中文課程名稱,英文課程名稱,課程學分數量,課程為必修或選修,授課教師,地點時間,限修人數,限修條件,備註
1312,AEU0078,電機系（學）,無,類比積體電路導論,Introduction to Analog Integrated Circuits,3.0,選,張譽騰,四 2-4 本部 誠208,50,無,無
1313,AEU0003,電機系（學）,無,數位系統,Digital Systems,3.0,必,林政宏,一 7-9 本部 綜202演講廳,150,無,無
1314,AEU0005,電機系（學）,是,計算機概論,Introduction to Computer Science,3.0,必,呂成凱,四 2-4 本部 教403,37,無,無
1315,AEU0005,電機系（學）,是,計算機概論,Introduction to Computer Science,3.0,必,呂成凱,四 7-9 本部 多媒體與通訊實驗室,35,無,無
1316,AEU0013,電機系（學）,是,程式設計,Computer Programming,3.0,必,康立威,五 2-4 本部 教401,50,無,無
1317,AEU0013,電機系（學）,是,程式設計,Computer Programming,3.0,必,康立威,二 7-9 本部 教402,50,無,無
1318,AEU0006,電機系（學）,無,電子學（一）,Electronics (I),3.0,必,蘇崇彥,五 2-4 本部 誠108,50,◎必須先修過【AEU0014  電路學（一）】,無
1319,AEU0006,電機系（學）,無,電子學（一）,Electronics (I),3.0,必,蘇崇彥,四 7-9 本部 誠207,50,◎必須先修過【AEU0014  電路學（一）】,無
1320,AEU0007,電機系（學）,是,電子學實驗（一）,Electronics Laboratory (I),2.0,必,張譽騰,三 6-9 本部 電機系電子實驗室,50,無,無
1321,AEU0015,電機系（學）,是,工程數學（二）,Engineering Mathematics (II),3.0,必,賴以威,五 6-8 本部 綜508會議室,70,◎必須先修過【AEU0008  工程數學（一）】,無
1322,AEU0017,電機系（學）,無,電路學（二）,Electric Circuits (II),3.0,選,郭建宏,一 2-4 本部 工401,50,◎必須先修過【AEU0014  電路學（一）】,無
1323,AEU0022,電機系（學）,無,資料結構,Data Structures,3.0,選,林政宏,二 7-9 本部 電機系電子實驗室,50,◎必須先修過【AEU0013  程式設計】,無
1324,AEU0066,電機系（學）,無,線性代數,Linear Algebra,3.0,選,方士豪,一 7-9 本部 工401,50,無,無
1325,AEU0077,電機系（學）,無,機器學習在教育上的應用,Machine Learning in Education Research,3.0,選,鍾明倫,四 2-4 本部 綜1001,31,無,需有程式設計相關基礎
1326,AEU0019,電機系（學）,無,電工實驗,Electrical Engineering Laboratory,2.0,選,曾煥雯,一 6-9 本部 電機與感測實驗室,30,無,無
1327,AEU0021,電機系（學）,無,感測與轉換,Sensors and Transducers,3.0,選,盧明智,三 7-9 本部 電機與感測實驗室,30,無,無
1328,AEU0027,電機系（學）,無,通訊原理（一）,Principles of Communication (I),3.0,選,王嘉斌,二 2-4 本部 誠109,50,◎必須先修過(也可以同時修)【AEU0025  訊號與系統】,無
1329,AEU0030,電機系（學）,無,電機機械（一）,Electric Machineries (I),3.0,選,洪欽銘 陳瑄易,二 7-9 本部 工501(TA501),50,無,無
1330,AEU0043,電機系（學）,是,控制系統,Control Systems,3.0,選,許陳鑑,五 2-4 本部 工401,50,無,無
1331,AEU0070,電機系（學）,無,電機專題製作（一）,Special Project on Electrical Engineering (I),2.0,必,張譽騰,五 6-7 本部 電機系電子實驗室,50,無,無
1332,AEU0070,電機系（學）,無,電機專題製作（一）,Special Project on Electrical Engineering (I),2.0,必,蘇崇彥,五 6-7 本部 電機系TA412會議室,50,無,無
1333,AEU0070,電機系（學）,無,電機專題製作（一）,Special Project on Electrical Engineering (I),2.0,必,陳瑄易,五 6-7 本部 TA512,50,無,無
